ID,Area (pixels),Color,Centroid X,Centroid Y,Name,Points,Neighbors
1,72166,Red,723.1,222.2,Britannia,10,39
2,45909,Red,1064.0,394.7,Belgica,5,53;28;39
3,51813,Red,1645.8,482.0,Noricum,5,15;43;27
4,107928,Red,2083.6,503.1,Dacia,5,41;15
5,156283,Red,2672.3,685.2,Mare Pontus Euxinus,,40;31;44;51;32;41
6,42692,Red,1716.2,892.7,Mare Adriatico,,43;30;45;19
7,80571,Red,3602.4,1019.6,Mesopotamia,10,29;20
8,224482,Red,620.6,1166.2,Hispania,10,55;42;16;56;52;58;47
9,34648,Red,3185.6,1125.8,Cilicia,5,54;20;34;18
10,27175,Red,2214.7,1263.4,Achaia,10,17;51;45
11,215289,Red,2780.2,1565.4,Mare Alexandria,,34;22;49;37;26;59;25
12,42865,Red,3378.8,1560.1,Palestina,5,20;57;37;49
13,76417,Red,1681.7,1603.2,Mare Sabrata,,24;59;38;60;48
14,90157,Red,415.5,1811.2,Tingitana,5,35;52;36
15,81572,Green,1833.1,530.5,Pannonia,5,4;41;30;43;3
16,73903,Green,1111.2,870.9,Narbonensis,10,53;27;43;56;8;42;28
17,79695,Green,2149.8,995.8,Macedonia,10,41;32;51;10;45;30
18,106558,Green,2911.5,1103.4,Galatia,10,31;54;9;34;44
19,62486,Green,1777.2,1097.8,Neopolis,10,6;45;33;43
20,94943,Green,3473.3,1212.9,Syria,10,29;7;57;12;49;34;9;54
21,15339,Green,1395.0,1231.1,Sardinia,5,33;48;56
22,13611,Green,3108.3,1325.9,Cyprus,5,34;49;11
23,2849,Green,1020.6,1307.8,Baleares,5,56;48;52
24,21354,Green,1762.7,1407.3,Sicilia,5,33;45;59;13;48
25,8429,Green,2432.7,1457.8,Creta,5,51;34;11;59;45
26,91184,Green,2412.5,1822.1,Cyrenaica,10,59;11;37;38
27,57055,Blue,1444.6,492.4,Rhea,5,3;43;16;53
28,104430,Blue,864.3,536.0,Lugudunensis,5,39;2;53;16;42;50
29,146113,Blue,3570.7,705.1,Armenia,5,7;20;54;40
30,63246,Blue,1859.9,807.3,Dalmatia,5,15;41;17;45;6;43
31,64658,Blue,2930.1,842.0,Pontus Et Bithynia,5,40;54;18;44;5
32,56614,Blue,2374.8,889.3,Thracia,5,41;5;51;17
33,112503,Blue,1585.9,1188.8,Mare Tyrrhenum,,43;19;45;24;48;21;56;46;56
34,96467,Blue,2899.2,1304.1,Mare Rhodus,,9;20;49;22;11;25;51;44;18
35,140350,Blue,215.1,1572.1,Mare Hispalis,,55;47;58;52;14
36,184166,Blue,934.1,1741.5,Caesariensis,10,48;60;14;52
37,130857,Blue,3009.7,1799.7,Egyptus,10,49;12;57;26;11
38,81219,Blue,1852.1,1836.5,Africa Procons,10,59;26;60;13
39,129598,Yellow,704.4,258.4,Oceanus Britannicus,,1;53;2;28;50
40,142344,Yellow,3116.8,559.3,Mare Amisus,,29;54;31;5
41,128167,Yellow,2302.3,643.1,Moesia,5,5;32;17;30;15;4
42,110232,Yellow,868.6,793.4,Aquitania,5,28;16;8;55;50
43,121188,Yellow,1463.9,798.4,Italia,10,3;15;30;6;19;33;56;16;27
44,89602,Yellow,2631.1,1099.6,Asia,10,5;31;18;34;51
45,126396,Yellow,2030.6,1266.6,Mare Epirus,,30;17;10;51;25;59;24;33;19;6
46,6839,Yellow,1384.4,1046.6,Corsica,5,33;56
47,73437,Yellow,339.9,1303.4,Lusitania,5,8;58;35;55
48,109763,Yellow,1296.7,1412.2,Mare Numidia,,56;21;33;24;13;60;36;52;23
49,69044,Yellow,3221.6,1482.9,Mare Pelusium,,34;20;12;37;11;22
50,269182,Cyan,320.2,460.3,Oceanus Atlanticus,,39;28;42;55
51,87579,Cyan,2393.4,1214.0,Mare Aegaeum,,32;5;44;34;25;45;10;17
52,101101,Cyan,809.6,1505.9,Mare Baliaricum,,56;23;48;36;14;35;58;8
53,104988,Magenta,1205.0,405.1,Germania,5,27;16;28;2;39
54,89307,Magenta,3224.0,887.2,Cappadocia,5,40;29;20;9;18;31
55,186697,Magenta,362.6,895.9,Mare Cantabricum,,50;42;8;47;35
56,148142,Magenta,1143.4,1146.4,Mare Narbo,,43;33;46;33;21;48;23;52;8;16
57,220382,Magenta,3575.9,1633.0,Arabia Petrea,5,37;12;20
58,57983,Magenta,479.0,1479.1,Baetica,5,47;8;52;35
59,182550,Magenta,2113.8,1611.3,Mare Libycum,,45;25;11;26;38;13;24
60,161240,Magenta,1383.3,1718.9,Numidia,10,48;13;38;36
