ID,Area (pixels),Color,Centroid X,Centroid Y,Name,Points,Neighbors
1,67094,Red,697.1,214.3,Britannia,10,39
2,42683,Red,1025.8,380.6,Belgica,5,53;28;39
3,48172,Red,1586.7,464.8,Noricum,5,15;43;27
4,100343,Red,2008.7,485.2,Dacia,5,41;15
5,145300,Red,2576.3,660.8,Mare Pontus Euxinus,,40;31;44;51;32;41
6,39692,Red,1654.5,860.9,Mare Adriatico,,43;30;45;19
7,74909,Red,3472.9,983.3,Mesopotamia,10,29;57;20
8,208706,Red,598.3,1124.7,Hispania,10,55;42;16;56;52;58;47
9,32213,Red,3071.1,1085.7,Cilicia,5,54;20;34;18
10,25265,Red,2135.1,1218.4,Achaia,10,17;51;45
11,200159,Red,2680.3,1509.6,Mare Alexandria,,34;22;49;37;26;59;25
12,39853,Red,3257.4,1504.5,Palestina,5,20;57;37;49
13,71047,Red,1621.3,1546.1,Mare Sabrata,,24;59;38;60;48
14,83821,Red,400.6,1746.7,Tingitana,5,35;52;36
15,75839,Green,1767.2,511.6,Pannonia,5,4;41;30;43;3
16,68709,Green,1071.3,839.9,Narbonensis,10,53;27;43;56;8;42;28
17,74094,Green,2072.5,960.3,Macedonia,10,41;32;51;10;45;30
18,99069,Green,2806.9,1064.1,Galatia,10,31;54;9;34;44
19,58095,Green,1713.3,1058.7,Neopolis,10,6;45;33;43
20,88271,Green,3348.5,1169.7,Syria,20,29;7;57;12;49;34;9;54
21,14261,Green,1344.9,1187.2,Sardinia,5,33;48;56
22,12654,Green,2996.6,1278.7,Cyprus,5,34;49;11
23,2649,Green,983.9,1261.2,Baleares,5,56;48;52
24,19853,Green,1699.4,1357.2,Sicilia,5,33;45;59;13;48
25,7837,Green,2345.3,1405.9,Creta,5,51;34;11;59;45
26,84776,Green,2325.8,1757.2,Cyrenaica,10,59;11;37;38
27,53045,Blue,1392.7,474.9,Rhea,5,3;43;16;53
28,97091,Blue,833.2,516.9,Lugudunensis,5,39;2;53;16;42;50
29,135845,Blue,3442.4,680.0,Armenia,5,7;20;54;40
30,58801,Blue,1793.1,778.5,Dalmatia,5,15;41;17;45;6;43
31,60114,Blue,2824.8,812.0,Pontus Et Bithynia,5,40;54;18;44;5
32,52635,Blue,2289.5,857.6,Thracia,5,41;5;51;17
33,104597,Blue,1528.9,1146.5,Mare Tyrrhenum,,43;19;45;24;48;21;56;46;56
34,89688,Blue,2795.0,1257.6,Mare Rhodus,,9;20;49;22;11;25;51;44;18
35,130487,Blue,207.4,1516.1,Mare Hispalis,,55;47;58;52;14
36,171223,Blue,900.5,1679.5,Caesariensis,10,48;60;14;52
37,121661,Blue,2901.5,1735.6,Egyptus,10,49;12;57;26;11
38,75511,Blue,1785.5,1771.1,Africa Procons,10,59;26;60;13
39,120490,Yellow,679.1,249.2,Oceanus Britannicus,,1;53;2;28;50
40,132340,Yellow,3004.8,539.4,Mare Amisus,,29;54;31;5
41,119160,Yellow,2219.6,620.2,Moesia,5,5;32;17;30;15;4
42,102485,Yellow,837.4,765.1,Aquitania,5,28;16;8;55;50
43,112671,Yellow,1411.3,770.0,Italia,10,3;15;30;6;19;33;56;16;27
44,83305,Yellow,2536.5,1060.4,Asia,10,5;31;18;34;51
45,117513,Yellow,1957.6,1221.5,Mare Epirus,,30;17;10;51;25;59;24;33;19;6
46,6358,Yellow,1334.6,1009.3,Corsica,5,33;56
47,68276,Yellow,327.7,1257.0,Lusitania,5,8;58;35;55
48,102049,Yellow,1250.1,1361.9,Mare Numidia,,56;21;33;24;13;60;36;52;23
49,64192,Yellow,3105.8,1430.1,Mare Pelusium,,34;20;12;37;11;22
50,250265,Cyan,308.7,443.9,Oceanus Atlanticus,,39;28;42;55
51,81424,Cyan,2307.4,1170.8,Mare Aegaeum,,32;5;44;34;25;45;10;17
52,93996,Cyan,780.5,1452.3,Mare Baliaricum,,56;23;48;36;14;35;58;8
53,97610,Magenta,1161.7,390.7,Germania,5,27;16;28;2;39
54,83031,Magenta,3108.1,855.6,Cappadocia,5,40;29;20;9;18;31
55,173576,Magenta,349.6,864.0,Mare Cantabricum,,50;42;8;47;35
56,137731,Magenta,1102.3,1105.6,Mare Narbo,,43;33;46;33;21;48;23;52;8;16
57,204894,Magenta,3447.4,1574.8,Arabia Petrea,5,7;37;12;20
58,53908,Magenta,461.8,1426.4,Baetica,5,47;8;52;35
59,169721,Magenta,2037.8,1553.9,Mare Libycum,,45;25;11;26;38;13;24
60,149908,Magenta,1333.6,1657.7,Numidia,10,48;13;38;36
