Territory ID,Neighbors (clockwise from 12 o'clock)
1,39
2,53;28;39
3,15;43;27
4,41;15
5,40;31;44;51;32;41
6,43;30;45;19
7,29;57;20
8,55;42;16;56;52;58;47
9,54;20;34;18
10,17;51;45
11,34;22;49;37;26;59;25
12,20;57;37;49
13,24;59;38;60;48
14,35;52;36
15,4;41;30;43;3
16,53;27;43;56;8;42;28
17,41;32;51;10;45;30
18,31;54;9;34;44
19,6;45;33;43
20,29;7;57;12;49;34;9;54
21,33;48;56
22,34;49;11
23,56;48;52
24,33;45;59;13;48
25,51;34;11;59;45
26,59;11;37;38
27,3;43;16;53
28,39;2;53;16;42;50
29,7;20;54;40
30,15;41;17;45;6;43
31,40;54;18;44;5
32,41;5;51;17
33,43;19;45;24;48;21;56;46;56
34,9;20;49;22;11;25;51;44;18
35,55;47;58;52;14
36,48;60;14;52
37,49;12;57;26;11
38,59;26;60;13
39,1;53;2;28;50
40,29;54;31;5
41,5;32;17;30;15;4
42,28;16;8;55;50
43,3;15;30;6;19;33;56;16;27
44,5;31;18;34;51
45,30;17;10;51;25;59;24;33;19;6
46,33;56
47,8;58;35;55
48,56;21;33;24;13;60;36;52;23
49,34;20;12;37;11;22
50,39;28;42;55
51,32;5;44;34;25;45;10;17
52,56;23;48;36;14;35;58;8
53,27;16;28;2;39
54,40;29;20;9;18;31
55,50;42;8;47;35
56,43;33;46;33;21;48;23;52;8;16
57,7;37;12;20
58,47;8;52;35
59,45;25;11;26;38;13;24
60,48;13;38;36
