ID,Area (pixels),Color,Centroid X,Centroid Y,Name,Points,Neighbors
1,72166,Red,762.3,190.0,Britannia,10,39
2,45909,Red,1010.2,352.0,Belgica,5,53;28;39
3,51813,Red,1631.5,494.0,Noricum,5,15;43;27
4,107928,Red,2054.2,446.7,Dacia,5,41;15
5,156283,Red,2674.8,724.1,Mare Pontus Euxinus,,40;31;44;51;32;41
6,42692,Red,1713.5,906.7,Mare Adriatico,,43;30;45;19
7,80571,Red,3678.0,997.2,Mesopotamia,10,29;20
8,224482,Red,662.1,1344.2,Hispania,10,55;42;16;56;52;58;47
9,34648,Red,3187.8,1114.6,Cilicia,5,54;20;34;18
10,27175,Red,2231.0,1303.5,Achaia,10,17;51;45
11,215289,Red,2775.9,1551.4,Mare Alexandria,,34;22;49;37;26;59;25
12,42865,Red,3375.6,1624.6,Palestina,5,20;57;37;49
13,76417,Red,1690.6,1594.3,Mare Sabrata,,24;59;38;60;48
14,90157,Red,438.5,1743.9,Tingitana,5,35;52;36
15,81572,Green,1822.2,543.5,Pannonia,5,4;41;30;43;3
16,73903,Green,1144.0,850.3,Narbonensis,10,53;27;43;56;8;42;28
17,79695,Green,2163.8,952.5,Macedonia,10,41;32;51;10;45;30
18,106558,Green,2968.4,1022.0,Galatia,10,31;54;9;34;44
19,62486,Green,1723.1,1080.7,Neopolis,10,6;45;33;43
20,94943,Green,3372.1,1207.7,Syria,10,29;7;57;12;49;34;9;54
21,15339,Green,1368.2,1206.9,Sardinia,5,33;48;56
22,13611,Green,3081.2,1332.9,Cyprus,5,34;49;11
23,2849,Green,1013.0,1307.6,Baleares,5,56;48;52
24,21354,Green,1765.2,1415.4,Sicilia,5,33;45;59;13;48
25,8429,Green,2417.5,1457.4,Creta,5,51;34;11;59;45
26,91184,Green,2286.1,1883.8,Cyrenaica,10,59;11;37;38
27,57055,Blue,1411.1,521.4,Rhea,5,3;43;16;53
28,104430,Blue,684.4,534.9,Lugudunensis,5,39;2;53;16;42;50
29,146113,Blue,3650.9,623.8,Armenia,5,7;20;54;40
30,63246,Blue,1848.7,781.0,Dalmatia,5,15;41;17;45;6;43
31,64658,Blue,2857.1,870.7,Pontus Et Bithynia,5,40;54;18;44;5
32,56614,Blue,2341.5,912.9,Thracia,5,41;5;51;17
33,112503,Blue,1606.2,1214.0,Mare Tyrrhenum,,43;19;45;24;48;21;56;46;56
34,96467,Blue,2931.0,1320.4,Mare Rhodus,,9;20;49;22;11;25;51;44;18
35,140350,Blue,166.6,1644.0,Mare Hispalis,,55;47;58;52;14
36,184166,Blue,736.3,1856.1,Caesariensis,10,48;60;14;52
37,130857,Blue,2882.1,1886.4,Egyptus,10,49;12;57;26;11
38,81219,Blue,1988.1,1884.3,Africa Procons,10,59;26;60;13
39,129598,Yellow,475.0,255.9,Oceanus Britannicus,,1;53;2;28;50
40,142344,Yellow,3115.1,605.0,Mare Amisus,,29;54;31;5
41,128167,Yellow,2404.3,586.0,Moesia,5,5;32;17;30;15;4
42,110232,Yellow,940.3,822.5,Aquitania,5,28;16;8;55;50
43,121188,Yellow,1455.0,830.3,Italia,10,3;15;30;6;19;33;56;16;27
44,89602,Yellow,2657.4,1013.9,Asia,10,5;31;18;34;51
45,126396,Yellow,2025.0,1308.0,Mare Epirus,,30;17;10;51;25;59;24;33;19;6
46,6839,Yellow,1374.9,1053.8,Corsica,5,33;56
47,73437,Yellow,319.0,1321.4,Lusitania,5,8;58;35;55
48,109763,Yellow,1258.8,1412.1,Mare Numidia,,56;21;33;24;13;60;36;52;23
49,69044,Yellow,3220.0,1482.0,Mare Pelusium,,34;20;12;37;11;22
50,269182,Cyan,280.1,489.9,Oceanus Atlanticus,,39;28;42;55
51,87579,Cyan,2408.1,1226.4,Mare Aegaeum,,32;5;44;34;25;45;10;17
52,101101,Cyan,889.6,1453.3,Mare Baliaricum,,56;23;48;36;14;35;58;8
53,104988,Magenta,1176.1,283.4,Germania,5,27;16;28;2;39
54,89307,Magenta,3259.1,841.8,Cappadocia,5,40;29;20;9;18;31
55,186697,Magenta,193.8,869.1,Mare Cantabricum,,50;42;8;47;35
56,148142,Magenta,1190.7,1117.7,Mare Narbo,,43;33;46;33;21;48;23;52;8;16
57,220382,Magenta,3655.9,1816.7,Arabia Petrea,5,37;12;20
58,57983,Magenta,479.1,1458.8,Baetica,5,47;8;52;35
59,182550,Magenta,2086.8,1622.9,Mare Libycum,,45;25;11;26;38;13;24
60,161240,Magenta,1386.5,1775.9,Numidia,10,48;13;38;36
